city_name,country,location_id,num_users,avg_age,std_age,min_age,max_age,admin_ratio,description,region,desc_length,is_touristique,is_capitale,is_historique,is_moderne,visiteurs
Aalborg,Danemark,1147,1,52.0,0.0,52,52,0.0,"Ville industrielle, connue pour son port et ses festivals.",Europe_Nord,58.0,0,0,0,0,782
Aalborg-Est,Danemark,1849,2,34.5,0.7071067811865476,34,35,0.0,"Ville industrielle, connue pour son port et ses festivals. (quartier-Est)",Europe_Nord,73.0,0,0,0,0,1365
Aarhus-Nord,Danemark,1379,1,26.0,0.0,26,26,0.0,"Ville universitaire, réputée pour son musée d’art moderne. (quartier-Nord)",Europe_Nord,74.0,1,0,0,1,2200
Aarhus-Sud,Danemark,1613,2,43.5,21.920310216782973,28,59,0.0,"Ville universitaire, réputée pour son musée d’art moderne. (quartier-Sud)",Europe_Nord,73.0,1,0,0,1,1700
Abu Dhabi,Émirats arabes unis,1234,3,36.333333333333336,16.441816606851365,24,55,0.3333333333333333,"Capitale, réputée pour ses musées et ses îles.",Moyen_Orient,46.0,1,1,0,0,1366
Abu Dhabi-Est,Émirats arabes unis,1936,2,55.5,2.1213203435596424,54,57,0.5,"Capitale, réputée pour ses musées et ses îles. (quartier-Est)",Moyen_Orient,61.0,1,1,0,0,1381
Abu Dhabi-Nord,Émirats arabes unis,1468,1,50.0,0.0,50,50,1.0,"Capitale, réputée pour ses musées et ses îles. (quartier-Nord)",Moyen_Orient,62.0,1,1,0,0,1920
Abu Dhabi-Sud,Émirats arabes unis,1702,2,22.0,4.242640687119285,19,25,1.0,"Capitale, réputée pour ses musées et ses îles. (quartier-Sud)",Moyen_Orient,61.0,1,1,0,0,1330
Abuja,Nigeria,1216,1,57.0,0.0,57,57,1.0,"Capitale, réputée pour son architecture moderne.",Afrique,48.0,1,1,0,1,1694
Abuja-Est,Nigeria,1918,1,36.0,0.0,36,36,0.0,"Capitale, réputée pour son architecture moderne. (quartier-Est)",Afrique,63.0,1,1,0,1,1351
Abuja-Sud,Nigeria,1684,3,37.66666666666666,17.21433511156714,24,57,0.6666666666666666,"Capitale, réputée pour son architecture moderne. (quartier-Sud)",Afrique,63.0,1,1,0,1,1896
Adélaïde-Est,Australie,1810,1,44.0,0.0,44,44,1.0,"Ville du sud, célèbre pour ses festivals et ses vignobles. (quartier-Est)",Océanie,73.0,1,0,0,0,1544
Agadir,Maroc,1031,1,19.0,0.0,19,19,1.0,"Ville balnéaire, connue pour ses plages et sa marina.",Maghreb,53.0,1,0,0,0,1460
Agadir-Est,Maroc,1733,3,27.0,6.0,21,33,0.3333333333333333,"Ville balnéaire, connue pour ses plages et sa marina. (quartier-Est)",Maghreb,68.0,1,0,0,0,1938
Agadir-Nord,Maroc,1265,2,48.0,0.0,48,48,0.0,"Ville balnéaire, connue pour ses plages et sa marina. (quartier-Nord)",Maghreb,69.0,1,0,0,0,1477
Agadir-Ouest,Maroc,1967,1,40.0,0.0,40,40,0.0,"Ville balnéaire, connue pour ses plages et sa marina. (quartier-Ouest)",Maghreb,70.0,1,0,0,0,1672
Ajman,Émirats arabes unis,1236,1,43.0,0.0,43,43,0.0,"Ville côtière, réputée pour ses plages et son calme.",Moyen_Orient,52.0,1,0,0,0,1219
Ajman-Est,Émirats arabes unis,1938,2,36.0,7.071067811865476,31,41,0.5,"Ville côtière, réputée pour ses plages et son calme. (quartier-Est)",Moyen_Orient,67.0,1,0,0,0,2241
Ajman-Sud,Émirats arabes unis,1704,1,19.0,0.0,19,19,0.0,"Ville côtière, réputée pour ses plages et son calme. (quartier-Sud)",Moyen_Orient,67.0,1,0,0,0,1933
Alexandrie-Est,Égypte,1797,1,39.0,0.0,39,39,1.0,"Ville portuaire, célèbre pour sa bibliothèque et son histoire antique. (quartier-Est)",Afrique,85.0,1,0,1,0,1580
Alexandrie-Nord,Égypte,1329,1,41.0,0.0,41,41,1.0,"Ville portuaire, célèbre pour sa bibliothèque et son histoire antique. (quartier-Nord)",Afrique,86.0,1,0,1,0,2121
Alexandrie-Sud,Égypte,1563,2,24.0,1.4142135623730951,23,25,0.5,"Ville portuaire, célèbre pour sa bibliothèque et son histoire antique. (quartier-Sud)",Afrique,85.0,1,0,1,0,1858
Alger-Nord,Algérie,1268,1,43.0,0.0,43,43,0.0,"Capitale algérienne, connue pour la Casbah et la baie d’Alger. (quartier-Nord)",Maghreb,78.0,0,1,0,0,1649
Amsterdam-Est,Pays-Bas,1866,1,29.0,0.0,29,29,0.0,"Capitale néerlandaise, connue pour ses canaux et ses musées. (quartier-Est)",Europe_Ouest,75.0,1,1,0,0,1693
Ankara,Turquie,1100,2,35.5,13.435028842544405,26,45,0.0,"Capitale turque, connue pour le mausolée d’Atatürk.",Moyen_Orient,51.0,0,1,0,0,1201
Ankara-Est,Turquie,1802,1,50.0,0.0,50,50,1.0,"Capitale turque, connue pour le mausolée d’Atatürk. (quartier-Est)",Moyen_Orient,66.0,0,1,0,0,1173
Ankara-Nord,Turquie,1334,1,57.0,0.0,57,57,0.0,"Capitale turque, connue pour le mausolée d’Atatürk. (quartier-Nord)",Moyen_Orient,67.0,0,1,0,0,1575
Ankara-Sud,Turquie,1568,1,45.0,0.0,45,45,1.0,"Capitale turque, connue pour le mausolée d’Atatürk. (quartier-Sud)",Moyen_Orient,66.0,0,1,0,0,1145
Annaba-Nord,Algérie,1271,1,30.0,0.0,30,30,1.0,"Ville côtière, connue pour la basilique Saint-Augustin. (quartier-Nord)",Maghreb,71.0,0,0,0,0,1001
Annaba-Ouest,Algérie,1973,3,46.66666666666666,18.82374387132733,25,59,0.0,"Ville côtière, connue pour la basilique Saint-Augustin. (quartier-Ouest)",Maghreb,72.0,0,0,0,0,1975
Annaba-Sud,Algérie,1505,2,28.5,7.7781745930520225,23,34,0.5,"Ville côtière, connue pour la basilique Saint-Augustin. (quartier-Sud)",Maghreb,70.0,0,0,0,0,1176
Antalya,Turquie,1102,2,24.5,9.192388155425116,18,31,1.0,"Ville balnéaire, célèbre pour ses plages et ses ruines antiques.",Moyen_Orient,64.0,1,0,0,0,1500
Antalya-Est,Turquie,1804,1,46.0,0.0,46,46,0.0,"Ville balnéaire, célèbre pour ses plages et ses ruines antiques. (quartier-Est)",Moyen_Orient,79.0,1,0,0,0,1849
Antofagasta,Chili,1128,2,29.0,9.899494936611664,22,36,0.0,"Ville minière, réputée pour ses paysages désertiques.",Amériques,53.0,1,0,0,0,1543
Anvers,Belgique,1170,3,28.33333333333333,7.234178138070235,20,33,0.6666666666666666,"Ville portuaire, réputée pour ses diamants et sa mode.",Europe_Ouest,54.0,1,0,0,0,1361
Anvers-Est,Belgique,1872,1,28.0,0.0,28,28,1.0,"Ville portuaire, réputée pour ses diamants et sa mode. (quartier-Est)",Europe_Ouest,69.0,1,0,0,0,1542
Anvers-Nord,Belgique,1404,1,48.0,0.0,48,48,0.0,"Ville portuaire, réputée pour ses diamants et sa mode. (quartier-Nord)",Europe_Ouest,70.0,1,0,0,0,2047
Ariana,Tunisie,1003,1,60.0,0.0,60,60,0.0,"Ville résidentielle au nord de Tunis, connue pour ses jardins et ses espaces verts.",Maghreb,83.0,0,0,0,0,1786
Ariana-Est,Tunisie,1705,2,49.0,12.727922061357855,40,58,0.5,"Ville résidentielle au nord de Tunis, connue pour ses jardins et ses espaces verts. (quartier-Est)",Maghreb,98.0,0,0,0,0,1740
Assouan,Égypte,1098,2,29.5,7.7781745930520225,24,35,0.0,"Ville du sud, connue pour son barrage et ses îles.",Afrique,50.0,0,0,0,0,1174
Assouan-Est,Égypte,1800,2,45.5,17.67766952966369,33,58,1.0,"Ville du sud, connue pour son barrage et ses îles. (quartier-Est)",Afrique,65.0,0,0,0,0,908
Assouan-Sud,Égypte,1566,3,25.666666666666668,6.8068592855540455,18,31,0.3333333333333333,"Ville du sud, connue pour son barrage et ses îles. (quartier-Sud)",Afrique,65.0,0,0,0,0,1460
Athènes,Grèce,1154,1,32.0,0.0,32,32,1.0,"Capitale grecque, connue pour l’Acropole et le Parthénon.",Europe_Sud,57.0,0,1,0,0,1351
Athènes-Est,Grèce,1856,1,44.0,0.0,44,44,0.0,"Capitale grecque, connue pour l’Acropole et le Parthénon. (quartier-Est)",Europe_Sud,72.0,0,1,0,0,1295
Athènes-Nord,Grèce,1388,1,43.0,0.0,43,43,0.0,"Capitale grecque, connue pour l’Acropole et le Parthénon. (quartier-Nord)",Europe_Sud,73.0,0,1,0,0,1529
Athènes-Sud,Grèce,1622,1,27.0,0.0,27,27,0.0,"Capitale grecque, connue pour l’Acropole et le Parthénon. (quartier-Sud)",Europe_Sud,72.0,0,1,0,0,1795
Auckland,Nouvelle-Zélande,1199,1,30.0,0.0,30,30,0.0,"Ville portuaire, connue pour la Sky Tower et ses plages.",Océanie,56.0,1,0,0,0,1942
Auckland-Nord,Nouvelle-Zélande,1433,3,39.66666666666666,6.350852961085883,36,47,0.3333333333333333,"Ville portuaire, connue pour la Sky Tower et ses plages. (quartier-Nord)",Océanie,72.0,1,0,0,0,1709
Auckland-Sud,Nouvelle-Zélande,1667,2,40.0,11.31370849898476,32,48,0.5,"Ville portuaire, connue pour la Sky Tower et ses plages. (quartier-Sud)",Océanie,71.0,1,0,0,0,2367
Bali,Indonésie,1212,1,52.0,0.0,52,52,1.0,"Île paradisiaque, célèbre pour ses plages et ses temples.",Asie,57.0,1,0,0,0,1856
Bali-Nord,Indonésie,1446,3,38.333333333333336,13.650396819628844,26,53,0.3333333333333333,"Île paradisiaque, célèbre pour ses plages et ses temples. (quartier-Nord)",Asie,73.0,1,0,0,0,2487
Bali-Sud,Indonésie,1680,1,56.0,0.0,56,56,1.0,"Île paradisiaque, célèbre pour ses plages et ses temples. (quartier-Sud)",Asie,72.0,1,0,0,0,1882
Bangalore,Inde,1091,5,39.2,9.984988733093292,28,51,0.6,"Ville technologique, réputée pour ses startups et son climat.",Asie,61.0,1,0,0,0,2485
Bangalore-Est,Inde,1793,1,20.0,0.0,20,20,1.0,"Ville technologique, réputée pour ses startups et son climat. (quartier-Est)",Asie,76.0,1,0,0,0,1926
Bangalore-Sud,Inde,1559,1,34.0,0.0,34,34,0.0,"Ville technologique, réputée pour ses startups et son climat. (quartier-Sud)",Asie,76.0,1,0,0,0,1603
Bangkok-Est,Thaïlande,1909,2,43.0,8.48528137423857,37,49,0.5,"Capitale animée, connue pour ses temples et sa street food. (quartier-Est)",Asie,74.0,0,1,0,0,1771
Bangkok-Nord,Thaïlande,1441,1,47.0,0.0,47,47,0.0,"Capitale animée, connue pour ses temples et sa street food. (quartier-Nord)",Asie,75.0,0,1,0,0,1354
Bangkok-Sud,Thaïlande,1675,1,43.0,0.0,43,43,0.0,"Capitale animée, connue pour ses temples et sa street food. (quartier-Sud)",Asie,74.0,0,1,0,0,970
Barcelone,Espagne,1045,1,42.0,0.0,42,42,0.0,"Ville catalane célèbre pour la Sagrada Família, le parc Güell et ses plages.",Europe_Sud,76.0,1,0,0,0,1844
Barcelone-Est,Espagne,1747,1,45.0,0.0,45,45,0.0,"Ville catalane célèbre pour la Sagrada Família, le parc Güell et ses plages. (quartier-Est)",Europe_Sud,91.0,1,0,0,0,2328
Beer-Sheva,Israël,1232,1,21.0,0.0,21,21,0.0,"Ville du désert, connue pour son université et son histoire antique.",Moyen_Orient,68.0,0,0,1,0,1426
Beer-Sheva-Est,Israël,1934,1,18.0,0.0,18,18,0.0,"Ville du désert, connue pour son université et son histoire antique. (quartier-Est)",Moyen_Orient,83.0,0,0,1,0,950
Beer-Sheva-Nord,Israël,1466,2,24.5,2.1213203435596424,23,26,0.0,"Ville du désert, connue pour son université et son histoire antique. (quartier-Nord)",Moyen_Orient,84.0,0,0,1,0,1880
Beer-Sheva-Sud,Israël,1700,2,47.0,11.31370849898476,39,55,1.0,"Ville du désert, connue pour son université et son histoire antique. (quartier-Sud)",Moyen_Orient,83.0,0,0,1,0,1196
Bergen-Nord,Norvège,1369,1,20.0,0.0,20,20,1.0,"Ville côtière, célèbre pour ses maisons colorées et ses fjords. (quartier-Nord)",Europe_Nord,79.0,1,0,0,0,1663
Berlin,Allemagne,1049,3,40.333333333333336,19.75685535031659,19,58,0.6666666666666666,"Capitale allemande, connue pour le mur de Berlin et la porte de Brandebourg.",Europe_Ouest,76.0,0,1,0,0,1447
Berlin-Est,Allemagne,1751,1,24.0,0.0,24,24,1.0,"Capitale allemande, connue pour le mur de Berlin et la porte de Brandebourg. (quartier-Est)",Europe_Ouest,91.0,0,1,0,0,1610
Berlin-Nord,Allemagne,1283,1,56.0,0.0,56,56,1.0,"Capitale allemande, connue pour le mur de Berlin et la porte de Brandebourg. (quartier-Nord)",Europe_Ouest,92.0,0,1,0,0,1335
Berlin-Sud,Allemagne,1517,1,33.0,0.0,33,33,1.0,"Capitale allemande, connue pour le mur de Berlin et la porte de Brandebourg. (quartier-Sud)",Europe_Ouest,91.0,0,1,0,0,1023
Berne-Est,Suisse,1880,1,47.0,0.0,47,47,1.0,"Capitale suisse, réputée pour sa vieille ville et ses ours. (quartier-Est)",Europe_Ouest,74.0,1,1,0,0,1581
Berne-Nord,Suisse,1412,2,49.5,10.606601717798211,42,57,1.0,"Capitale suisse, réputée pour sa vieille ville et ses ours. (quartier-Nord)",Europe_Ouest,75.0,1,1,0,0,2226
Bilbao,Espagne,1048,1,52.0,0.0,52,52,1.0,"Ville basque, réputée pour le musée Guggenheim et sa gastronomie.",Europe_Sud,65.0,1,0,0,0,1595
Bilbao-Est,Espagne,1750,1,33.0,0.0,33,33,0.0,"Ville basque, réputée pour le musée Guggenheim et sa gastronomie. (quartier-Est)",Europe_Sud,80.0,1,0,0,0,1964
Bizerte,Tunisie,1007,1,20.0,0.0,20,20,1.0,"Ville côtière au nord, connue pour son vieux port pittoresque.",Maghreb,62.0,0,0,0,0,1617
Bizerte-Est,Tunisie,1709,1,28.0,0.0,28,28,0.0,"Ville côtière au nord, connue pour son vieux port pittoresque. (quartier-Est)",Maghreb,77.0,0,0,0,0,1209
Bizerte-Nord,Tunisie,1241,1,21.0,0.0,21,21,0.0,"Ville côtière au nord, connue pour son vieux port pittoresque. (quartier-Nord)",Maghreb,78.0,0,0,0,0,971
Bizerte-Ouest,Tunisie,1943,1,50.0,0.0,50,50,0.0,"Ville côtière au nord, connue pour son vieux port pittoresque. (quartier-Ouest)",Maghreb,79.0,0,0,0,0,1256
Bizerte-Sud,Tunisie,1475,2,41.0,14.142135623730953,31,51,1.0,"Ville côtière au nord, connue pour son vieux port pittoresque. (quartier-Sud)",Maghreb,77.0,0,0,0,0,1925
Bordeaux,France,1022,2,40.0,11.31370849898476,32,48,0.0,"Ville du vin, célèbre pour ses quais et son architecture classique.",Europe_Ouest,67.0,1,0,0,0,1824
Bordeaux-Est,France,1724,2,46.5,0.7071067811865476,46,47,1.0,"Ville du vin, célèbre pour ses quais et son architecture classique. (quartier-Est)",Europe_Ouest,82.0,1,0,0,0,1947
Bordeaux-Ouest,France,1958,1,18.0,0.0,18,18,0.0,"Ville du vin, célèbre pour ses quais et son architecture classique. (quartier-Ouest)",Europe_Ouest,84.0,1,0,0,0,1948
Bordeaux-Sud,France,1490,1,59.0,0.0,59,59,0.0,"Ville du vin, célèbre pour ses quais et son architecture classique. (quartier-Sud)",Europe_Ouest,82.0,1,0,0,0,2195
Braga-Est,Portugal,1865,1,18.0,0.0,18,18,1.0,"Ville historique, réputée pour ses églises et ses jardins. (quartier-Est)",Europe_Sud,73.0,1,0,1,0,2272
Braga-Nord,Portugal,1397,1,35.0,0.0,35,35,0.0,"Ville historique, réputée pour ses églises et ses jardins. (quartier-Nord)",Europe_Sud,74.0,1,0,1,0,1374
Braga-Sud,Portugal,1631,2,35.5,3.5355339059327378,33,38,0.0,"Ville historique, réputée pour ses églises et ses jardins. (quartier-Sud)",Europe_Sud,73.0,1,0,1,0,1635
Brasília,Brésil,1071,1,38.0,0.0,38,38,1.0,"Capitale moderne, réputée pour son architecture futuriste.",Amériques,58.0,1,1,0,1,1260
Brasília-Nord,Brésil,1305,4,41.5,10.246950765959598,28,52,0.25,"Capitale moderne, réputée pour son architecture futuriste. (quartier-Nord)",Amériques,74.0,1,1,0,1,2571
Brasília-Sud,Brésil,1539,1,50.0,0.0,50,50,0.0,"Capitale moderne, réputée pour son architecture futuriste. (quartier-Sud)",Amériques,73.0,1,1,0,1,1891
Brisbane,Australie,1106,1,38.0,0.0,38,38,0.0,"Ville du Queensland, connue pour sa rivière et son climat.",Océanie,58.0,0,0,0,0,1551
Brisbane-Est,Australie,1808,1,59.0,0.0,59,59,0.0,"Ville du Queensland, connue pour sa rivière et son climat. (quartier-Est)",Océanie,73.0,0,0,0,0,1217
Brisbane-Nord,Australie,1340,1,38.0,0.0,38,38,0.0,"Ville du Queensland, connue pour sa rivière et son climat. (quartier-Nord)",Océanie,74.0,0,0,0,0,841
Bristol-Est,Royaume-Uni,1760,2,31.0,0.0,31,31,0.0,"Ville du sud-ouest, connue pour son port et son street art. (quartier-Est)",Europe_Nord,74.0,0,0,0,0,1329
Bristol-Nord,Royaume-Uni,1292,1,20.0,0.0,20,20,1.0,"Ville du sud-ouest, connue pour son port et son street art. (quartier-Nord)",Europe_Nord,75.0,0,0,0,0,1415
Brno,Tchéquie,1195,2,43.5,20.50609665440988,29,58,0.5,"Ville universitaire, réputée pour son architecture moderne.",Autre,59.0,1,0,0,1,1395
Brno-Nord,Tchéquie,1429,2,32.5,14.849242404917495,22,43,0.5,"Ville universitaire, réputée pour son architecture moderne. (quartier-Nord)",Autre,75.0,1,0,0,1,2221
Bruges,Belgique,1173,2,45.0,2.8284271247461903,43,47,0.0,"Ville médiévale, réputée pour ses canaux et son centre historique.",Europe_Ouest,66.0,1,0,1,0,2181
Bruges-Nord,Belgique,1407,1,46.0,0.0,46,46,1.0,"Ville médiévale, réputée pour ses canaux et son centre historique. (quartier-Nord)",Europe_Ouest,82.0,1,0,1,0,1896
Bruges-Sud,Belgique,1641,1,21.0,0.0,21,21,1.0,"Ville médiévale, réputée pour ses canaux et son centre historique. (quartier-Sud)",Europe_Ouest,81.0,1,0,1,0,2112
Bruxelles,Belgique,1169,1,18.0,0.0,18,18,1.0,"Capitale belge, connue pour la Grand-Place et l’Atomium.",Europe_Ouest,56.0,0,1,0,0,1061
Bruxelles-Est,Belgique,1871,1,40.0,0.0,40,40,0.0,"Capitale belge, connue pour la Grand-Place et l’Atomium. (quartier-Est)",Europe_Ouest,71.0,0,1,0,0,1539
Bruxelles-Nord,Belgique,1403,2,43.5,14.849242404917495,33,54,0.0,"Capitale belge, connue pour la Grand-Place et l’Atomium. (quartier-Nord)",Europe_Ouest,72.0,0,1,0,0,1475
Bruxelles-Sud,Belgique,1637,1,38.0,0.0,38,38,1.0,"Capitale belge, connue pour la Grand-Place et l’Atomium. (quartier-Sud)",Europe_Ouest,71.0,0,1,0,0,971
Budapest,Hongrie,1189,1,50.0,0.0,50,50,1.0,"Capitale hongroise, connue pour ses bains et son parlement.",Europe_Est,59.0,0,1,0,0,891
Budapest-Est,Hongrie,1891,2,33.5,6.363961030678928,29,38,0.5,"Capitale hongroise, connue pour ses bains et son parlement. (quartier-Est)",Europe_Est,74.0,0,1,0,0,1897
Buenos Aires-Est,Argentine,1821,4,42.75,5.439056290693574,35,47,1.0,"Capitale argentine, connue pour le tango et la Plaza de Mayo. (quartier-Est)",Amériques,76.0,0,1,0,0,2155
Buenos Aires-Nord,Argentine,1353,1,19.0,0.0,19,19,0.0,"Capitale argentine, connue pour le tango et la Plaza de Mayo. (quartier-Nord)",Amériques,77.0,0,1,0,0,1139
Bursa-Est,Turquie,1805,1,51.0,0.0,51,51,1.0,"Ville historique, connue pour ses bains et sa soie. (quartier-Est)",Moyen_Orient,66.0,0,0,1,0,1622
Bursa-Nord,Turquie,1337,1,41.0,0.0,41,41,1.0,"Ville historique, connue pour ses bains et sa soie. (quartier-Nord)",Moyen_Orient,67.0,0,0,1,0,1585
Bursa-Sud,Turquie,1571,2,52.5,0.7071067811865476,52,53,1.0,"Ville historique, connue pour ses bains et sa soie. (quartier-Sud)",Moyen_Orient,66.0,0,0,1,0,1130
Busan,Corée du Sud,1204,2,48.5,0.7071067811865476,48,49,0.0,"Ville portuaire, réputée pour ses plages et son marché aux poissons.",Asie,68.0,1,0,0,0,1835
Busan-Est,Corée du Sud,1906,1,22.0,0.0,22,22,0.0,"Ville portuaire, réputée pour ses plages et son marché aux poissons. (quartier-Est)",Asie,83.0,1,0,0,0,1891
Busan-Nord,Corée du Sud,1438,1,57.0,0.0,57,57,1.0,"Ville portuaire, réputée pour ses plages et son marché aux poissons. (quartier-Nord)",Asie,84.0,1,0,0,0,2166
Busan-Sud,Corée du Sud,1672,1,54.0,0.0,54,54,1.0,"Ville portuaire, réputée pour ses plages et son marché aux poissons. (quartier-Sud)",Asie,83.0,1,0,0,0,1681
Bâle,Suisse,1176,1,26.0,0.0,26,26,0.0,"Ville culturelle, réputée pour ses musées et son carnaval.",Europe_Ouest,58.0,1,0,0,0,1881
Bâle-Nord,Suisse,1410,1,48.0,0.0,48,48,0.0,"Ville culturelle, réputée pour ses musées et son carnaval. (quartier-Nord)",Europe_Ouest,74.0,1,0,0,0,1635
Bâle-Sud,Suisse,1644,1,20.0,0.0,20,20,0.0,"Ville culturelle, réputée pour ses musées et son carnaval. (quartier-Sud)",Europe_Ouest,73.0,1,0,0,0,2054
Calgary-Nord,Canada,1301,1,40.0,0.0,40,40,0.0,"Ville de l’Alberta, connue pour le Stampede et ses parcs. (quartier-Nord)",Amériques,73.0,0,0,0,0,1549
Calgary-Sud,Canada,1535,1,23.0,0.0,23,23,0.0,"Ville de l’Alberta, connue pour le Stampede et ses parcs. (quartier-Sud)",Amériques,72.0,0,0,0,0,1568
Cancún,Mexique,1117,1,43.0,0.0,43,43,1.0,"Ville balnéaire, célèbre pour ses plages et ses hôtels.",Amériques,55.0,1,0,0,0,1487
Cancún-Est,Mexique,1819,2,57.5,3.5355339059327378,55,60,0.5,"Ville balnéaire, célèbre pour ses plages et ses hôtels. (quartier-Est)",Amériques,70.0,1,0,0,0,2278
Cancún-Nord,Mexique,1351,1,55.0,0.0,55,55,1.0,"Ville balnéaire, célèbre pour ses plages et ses hôtels. (quartier-Nord)",Amériques,71.0,1,0,0,0,1362
Cancún-Sud,Mexique,1585,1,47.0,0.0,47,47,0.0,"Ville balnéaire, célèbre pour ses plages et ses hôtels. (quartier-Sud)",Amériques,70.0,1,0,0,0,2091
Casablanca,Maroc,1027,2,53.0,8.48528137423857,47,59,0.5,"Ville portuaire moderne, connue pour la mosquée Hassan II et son dynamisme économique.",Maghreb,86.0,0,0,0,1,1981
Casablanca-Est,Maroc,1729,2,36.5,26.16295090390226,18,55,0.5,"Ville portuaire moderne, connue pour la mosquée Hassan II et son dynamisme économique. (quartier-Est)",Maghreb,101.0,0,0,0,1,1426
Casablanca-Nord,Maroc,1261,3,34.666666666666664,18.175074506954115,20,55,0.3333333333333333,"Ville portuaire moderne, connue pour la mosquée Hassan II et son dynamisme économique. (quartier-Nord)",Maghreb,102.0,0,0,0,1,2083
Casablanca-Ouest,Maroc,1963,3,33.333333333333336,9.712534856222309,25,44,1.0,"Ville portuaire moderne, connue pour la mosquée Hassan II et son dynamisme économique. (quartier-Ouest)",Maghreb,103.0,0,0,0,1,1517
Chengdu-Est,Chine,1785,2,45.5,17.67766952966369,33,58,0.5,"Ville du Sichuan, célèbre pour ses pandas et sa gastronomie. (quartier-Est)",Asie,75.0,1,0,0,0,1829
Chengdu-Nord,Chine,1317,2,42.0,7.071067811865476,37,47,0.5,"Ville du Sichuan, célèbre pour ses pandas et sa gastronomie. (quartier-Nord)",Asie,76.0,1,0,0,0,1952
Chengdu-Sud,Chine,1551,1,23.0,0.0,23,23,1.0,"Ville du Sichuan, célèbre pour ses pandas et sa gastronomie. (quartier-Sud)",Asie,75.0,1,0,0,0,1390
Chennai,Inde,1092,1,57.0,0.0,57,57,0.0,"Ville du sud, connue pour ses plages et ses temples.",Asie,52.0,1,0,0,0,1276
Chiang Mai,Thaïlande,1208,1,50.0,0.0,50,50,0.0,"Ville du nord, réputée pour ses montagnes et ses marchés.",Asie,57.0,1,0,0,0,1184
Chiang Mai-Est,Thaïlande,1910,2,53.5,3.5355339059327378,51,56,0.0,"Ville du nord, réputée pour ses montagnes et ses marchés. (quartier-Est)",Asie,72.0,1,0,0,0,2232
Chiang Mai-Sud,Thaïlande,1676,3,47.66666666666666,5.131601439446884,42,52,0.6666666666666666,"Ville du nord, réputée pour ses montagnes et ses marchés. (quartier-Sud)",Asie,72.0,1,0,0,0,1584
Chicago,États-Unis,1061,1,29.0,0.0,29,29,0.0,"Ville du Midwest, réputée pour son architecture et son jazz.",Amériques,60.0,1,0,0,0,2056
